division,date,zhvi,hpi,unemployment_rate,total_population,median_income,bachelors_pct,total_households,construction_permits,rental_vacancy_rate
East North Central,2012-06-01,103725.90635006892,161.165,8.2,19256857.0,52573.97797719535,33.17036292059499,17914100.0,68216.0,7.804239267256155
East North Central,2012-07-01,104071.91269900484,161.18,8.2,19256857.0,52573.97797719535,33.17036292059499,17914100.0,68216.0,7.804239267256155
East North Central,2012-08-01,104376.93032987778,161.785,8.1,19256857.0,52573.97797719535,33.17036292059499,17914100.0,68216.0,7.804239267256155
East North Central,2012-09-01,104887.13009839534,161.5,7.8,19256857.0,52573.97797719535,33.17036292059499,17914100.0,68216.0,7.804239267256155
East North Central,2012-10-01,105244.27855686976,161.365,7.8,19256857.0,52573.97797719535,33.17036292059499,17914100.0,68216.0,7.804239267256155
East North Central,2012-11-01,105382.72116516922,160.62,7.7,19256857.0,52573.97797719535,33.17036292059499,17914100.0,68216.0,7.804239267256155
East North Central,2012-12-01,105481.56199204062,159.935,7.9,19256857.0,52573.97797719535,33.17036292059499,17914100.0,68216.0,7.804239267256155
East North Central,2013-01-01,105550.79982761553,160.67000000000002,8.0,19317549.0,53852.38604995903,33.78217479349994,17923783.0,83024.0,7.378203531829757
East North Central,2013-02-01,105706.51250441327,161.41,7.7,19317549.0,53852.38604995903,33.78217479349994,17923783.0,83024.0,7.378203531829757
East North Central,2013-03-01,106018.90608930896,163.555,7.5,19317549.0,53852.38604995903,33.78217479349994,17923783.0,83024.0,7.378203531829757
East North Central,2013-04-01,106378.55438667355,165.655,7.6,19317549.0,53852.38604995903,33.78217479349994,17923783.0,83024.0,7.378203531829757
East North Central,2013-05-01,106875.00791703496,167.445,7.5,19317549.0,53852.38604995903,33.78217479349994,17923783.0,83024.0,7.378203531829757
East North Central,2013-06-01,107324.65397183086,169.11,7.5,19317549.0,53852.38604995903,33.78217479349994,17923783.0,83024.0,7.378203531829757
East North Central,2013-07-01,107660.96023269692,170.305,7.3,19317549.0,53852.38604995903,33.78217479349994,17923783.0,83024.0,7.378203531829757
East North Central,2013-08-01,108278.42950139588,170.135,7.2,19317549.0,53852.38604995903,33.78217479349994,17923783.0,83024.0,7.378203531829757
East North Central,2013-09-01,108839.21534450444,169.985,7.2,19317549.0,53852.38604995903,33.78217479349994,17923783.0,83024.0,7.378203531829757
East North Central,2013-10-01,109391.18355231486,169.305,7.2,19317549.0,53852.38604995903,33.78217479349994,17923783.0,83024.0,7.378203531829757
East North Central,2013-11-01,109545.27813518888,168.95499999999998,6.9,19317549.0,53852.38604995903,33.78217479349994,17923783.0,83024.0,7.378203531829757
East North Central,2013-12-01,109615.04995420766,169.42000000000002,6.7,19317549.0,53852.38604995903,33.78217479349994,17923783.0,83024.0,7.378203531829757
East North Central,2014-01-01,109558.3806501531,168.99,6.6,19368940.0,55256.47402263624,34.45386151746043,17961961.0,88957.0,6.877770382723219
East North Central,2014-02-01,109785.12917814542,169.26,6.7,19368940.0,55256.47402263624,34.45386151746043,17961961.0,88957.0,6.877770382723219
East North Central,2014-03-01,109972.20428885496,170.76,6.7,19368940.0,55256.47402263624,34.45386151746043,17961961.0,88957.0,6.877770382723219
East North Central,2014-04-01,110317.5471722857,172.845,6.2,19368940.0,55256.47402263624,34.45386151746043,17961961.0,88957.0,6.877770382723219
East North Central,2014-05-01,110770.98797701922,173.645,6.3,19368940.0,55256.47402263624,34.45386151746043,17961961.0,88957.0,6.877770382723219
East North Central,2014-06-01,111377.98130930583,175.10500000000002,6.1,19368940.0,55256.47402263624,34.45386151746043,17961961.0,88957.0,6.877770382723219
East North Central,2014-07-01,112036.28256105808,176.24,6.2,19368940.0,55256.47402263624,34.45386151746043,17961961.0,88957.0,6.877770382723219
East North Central,2014-08-01,112571.84449051824,176.6,6.1,19368940.0,55256.47402263624,34.45386151746043,17961961.0,88957.0,6.877770382723219
East North Central,2014-09-01,112879.38160378284,176.125,5.9,19368940.0,55256.47402263624,34.45386151746043,17961961.0,88957.0,6.877770382723219
East North Central,2014-10-01,112821.00783470109,176.445,5.7,19368940.0,55256.47402263624,34.45386151746043,17961961.0,88957.0,6.877770382723219
East North Central,2014-11-01,112762.0934065586,175.505,5.8,19368940.0,55256.47402263624,34.45386151746043,17961961.0,88957.0,6.877770382723219
East North Central,2014-12-01,112850.18989465966,176.16500000000002,5.6,19368940.0,55256.47402263624,34.45386151746043,17961961.0,88957.0,6.877770382723219
